committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,election_type,fec_election_type_desc,fec_election_year,back_reference_transaction_id,back_reference_schedule_id,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,sub_id,pdf_url
C00368522,JOE WILSON FOR CONGRESS,2024,YE,202502249753772623,17,SB17.I30676,1878509,ORG,ORGANIZATION,,,HAMPTON INN,GA,LODGING,X,,2024-10-18 0:00:00,352.7,,,,SB17.I30658,SB17,4022420251177823005,COVINGTON,30014,TRAVEL,,4022420251178408773,https://docquery.fec.gov/cgi-bin/fecimg/?202502249753772623
C00780619,BRADY DUKE FOR CONGRESS,2024,YE,202501239747718498,17,SB17.5400,1865137,ORG,ORGANIZATION,,,PROFESSIONAL DATA SERVICES,GA,COMPLIANCE CONSULTING,,,2024-10-22 0:00:00,563,,,,,,4012320251133607037,ATHENS,30605,OTHER,,4012520251135144799,https://docquery.fec.gov/cgi-bin/fecimg/?202501239747718498
C00503052,JEFFRIES FOR CONGRESS,2024,12G,202410249710193764,17,500367029,1838173,ORG,ORGANIZATION,,,DELTA AIRLINES,GA,TRAVEL EXPENSE,,,2024-10-15 0:00:00,5.6,G2024,GENERAL,2024,,,4102420242081239062,ATLANTA,303541989,MATERIALS,,4112320241073227024,https://docquery.fec.gov/cgi-bin/fecimg/?202410249710193764
C00503052,JEFFRIES FOR CONGRESS,2024,12G,202410249710193764,17,500367028,1838173,ORG,ORGANIZATION,,,DELTA AIRLINES,GA,TRAVEL EXPENSE,,,2024-10-15 0:00:00,5.6,G2024,GENERAL,2024,,,4102420242081239062,ATLANTA,303541989,MATERIALS,,4112320241073227023,https://docquery.fec.gov/cgi-bin/fecimg/?202410249710193764
C00877373,DEREK SCHMIDT FOR CONGRESS,2024,30G,202502159753432996,17,BDCDA4CA6C29D4459916,1876424,ORG,ORGANIZATION,,,DELTA AIR LINES,GA,AIRFARE REFUND,X,,2024-11-05 0:00:00,-142.74,G2024,GENERAL,2024,B66986BF6B3144945926,SB17,4021520251177275007,ATLANTA,303206001,OTHER,,4021620251177300030,https://docquery.fec.gov/cgi-bin/fecimg/?202502159753432996
C00877373,DEREK SCHMIDT FOR CONGRESS,2024,30G,202502159753432995,17,BA52886C4F2B64404B78,1876424,ORG,ORGANIZATION,,,DELTA AIR LINES,GA,AIRFARE,X,,2024-10-28 0:00:00,448.98,G2024,GENERAL,2024,B66986BF6B3144945926,SB17,4021520251177275007,ATLANTA,303206001,OTHER,,4021620251177300029,https://docquery.fec.gov/cgi-bin/fecimg/?202502159753432995
C00850743,ROYCE WHITE FOR SENATE,2024,12G,202505279761725092,17,B64F0CB54E4B540E08CE,1894007,ORG,ORGANIZATION,,,ANEDOT,GA,CREDIT CARD FEES,,,2024-10-16 0:00:00,9.7,G2024,GENERAL,2024,,,4052720251204117006,ATLANTA,303093449,OTHER,,4052720251204227231,https://docquery.fec.gov/cgi-bin/fecimg/?202505279761725092
C00877373,DEREK SCHMIDT FOR CONGRESS,2024,30G,202502159753432995,17,B77C7FC3484FD4535B7D,1876424,ORG,ORGANIZATION,,,DELTA AIR LINES,GA,AIRFARE,X,,2024-10-28 0:00:00,508.47,G2024,GENERAL,2024,B66986BF6B3144945926,SB17,4021520251177275007,ATLANTA,303206001,OTHER,,4021620251177300028,https://docquery.fec.gov/cgi-bin/fecimg/?202502159753432995
C00503052,JEFFRIES FOR CONGRESS,2024,12G,202410249710193765,17,500367032,1838173,ORG,ORGANIZATION,,,DELTA AIRLINES,GA,TRAVEL EXPENSE,,,2024-10-16 0:00:00,231.48,G2024,GENERAL,2024,,,4102420242081239062,ATLANTA,303541989,MATERIALS,,4112320241073227027,https://docquery.fec.gov/cgi-bin/fecimg/?202410249710193765
C00831289,NICK MELVOIN FOR CONGRESS,2024,YE,202501249747745863,17,XB134EB998,1865577,ORG,ORGANIZATION,,,MAILCHIMP,GA,OFFICE SUPPLIES,X,,2024-12-18 0:00:00,20,P2026,PRIMARY,2026,EB998,SB17,4012420251134825017,ATLANTA,30318,ADMINISTRATIVE,,4012520251135144473,https://docquery.fec.gov/cgi-bin/fecimg/?202501249747745863
C00763649,TROY CARTER FOR CONGRESS,2024,30G,202502249753772506,17,500532508,1878495,ORG,ORGANIZATION,,,RACETRAC,GA,AUTOMOBILE EXPENSE,X,,2024-10-22 0:00:00,72.16,P2024,PRIMARY,2024,500532512,SB17,4022420251177823003,ATLANTA,303395918,MATERIALS,*,4022420251178403127,https://docquery.fec.gov/cgi-bin/fecimg/?202502249753772506
C00763649,TROY CARTER FOR CONGRESS,2024,30G,202502249753772505,17,500532490,1878495,ORG,ORGANIZATION,,,NUPEMALL,GA,EVENT SUPPLIES,X,,2024-10-22 0:00:00,275.95,P2024,PRIMARY,2024,500532512,SB17,4022420251177823003,ALPHARETTA,300052217,OTHER,*,4022420251178403125,https://docquery.fec.gov/cgi-bin/fecimg/?202502249753772505
C00503052,JEFFRIES FOR CONGRESS,2024,12G,202410249710193764,17,500367027,1838173,ORG,ORGANIZATION,,,DELTA AIRLINES,GA,TRAVEL EXPENSE,,,2024-10-15 0:00:00,329.99,G2024,GENERAL,2024,,,4102420242081239062,ATLANTA,303541989,MATERIALS,,4112320241073227022,https://docquery.fec.gov/cgi-bin/fecimg/?202410249710193764
C00503052,JEFFRIES FOR CONGRESS,2024,12G,202410249710193765,17,500367031,1838173,ORG,ORGANIZATION,,,DELTA AIRLINES,GA,TRAVEL EXPENSE,,,2024-10-16 0:00:00,436.95,G2024,GENERAL,2024,,,4102420242081239062,ATLANTA,303541989,MATERIALS,,4112320241073227026,https://docquery.fec.gov/cgi-bin/fecimg/?202410249710193765
C00503052,JEFFRIES FOR CONGRESS,2024,12G,202410249710193765,17,500367030,1838173,ORG,ORGANIZATION,,,DELTA AIRLINES,GA,TRAVEL EXPENSE,,,2024-10-15 0:00:00,5.6,G2024,GENERAL,2024,,,4102420242081239062,ATLANTA,303541989,MATERIALS,,4112320241073227025,https://docquery.fec.gov/cgi-bin/fecimg/?202410249710193765
C00503052,JEFFRIES FOR CONGRESS,2024,12G,202410249710193763,17,500367024,1838173,ORG,ORGANIZATION,,,DELTA AIRLINES,GA,TRAVEL EXPENSE,,,2024-10-15 0:00:00,408.47,G2024,GENERAL,2024,,,4102420242081239062,ATLANTA,303541989,MATERIALS,,4112320241073227019,https://docquery.fec.gov/cgi-bin/fecimg/?202410249710193763
C00851980,FRIENDS OF DAVE MCCORMICK,2024,YE,202502269753969081,17,SB17.R26,1878680,ORG,ORGANIZATION,,,PARKMOBILE - HQ,GA,TRAVEL,X,,2024-12-27 0:00:00,4.15,,,,SB17.R25,,4022620251178660004,ATLANTA,30309,OTHER,,4022620251179131971,https://docquery.fec.gov/cgi-bin/fecimg/?202502269753969081
C00503052,JEFFRIES FOR CONGRESS,2024,12G,202410249710193763,17,500367025,1838173,ORG,ORGANIZATION,,,DELTA AIRLINES,GA,TRAVEL EXPENSE,,,2024-10-15 0:00:00,408.47,G2024,GENERAL,2024,,,4102420242081239062,ATLANTA,303541989,MATERIALS,,4112320241073227020,https://docquery.fec.gov/cgi-bin/fecimg/?202410249710193763
C00872473,BRIAN JACK FOR CONGRESS,2024,30G,202503109754097590,17,DS6U47G8G5MQ3JMGZ5MZ,1879867,ORG,ORGANIZATION,,,SERVISFIRST BANK,GA,BANK SERVICES FEE,,,2024-10-31 0:00:00,106.05,G2024,GENERAL,2024,,,4031020251179730010,ATLANTA,30339,OTHER,,4031020251179815687,https://docquery.fec.gov/cgi-bin/fecimg/?202503109754097590
C00838110,STUTZMAN FOR CONGRESS,2024,30G,202501249747761661,17,SB17.I5721,1865738,ORG,ORGANIZATION,,,CHICK-FIL-A,GA,FOOD/BEVERAGES,,,2024-10-21 0:00:00,31.07,,,,,,4012520251135116003,ATLANTA,30349,OTHER,,4012520251135144026,https://docquery.fec.gov/cgi-bin/fecimg/?202501249747761661
C00851980,FRIENDS OF DAVE MCCORMICK,2024,YE,202502269753969013,17,SB17.A104,1878680,ORG,ORGANIZATION,,,HOME DEPOT - HQ,GA,OFFICE SUPPLIES,X,,2024-11-26 0:00:00,1064.93,,,,SB17.A100,,4022620251178660004,ATLANTA,30339,ADMINISTRATIVE,,4022620251179131766,https://docquery.fec.gov/cgi-bin/fecimg/?202502269753969013
C00831289,NICK MELVOIN FOR CONGRESS,2024,YE,202501249747745863,17,EB998,1865577,ORG,ORGANIZATION,,,CARD SERVICES CENTER,GA,CREDIT CARD PAYMENT,,,2024-12-18 0:00:00,178.4,P2026,PRIMARY,2026,,,4012420251134825017,KENNESAW,30144,OTHER,,4012520251135144471,https://docquery.fec.gov/cgi-bin/fecimg/?202501249747745863
C00667741,THE COMMITTEE TO ELECT AYANNA PRESSLEY,2024,12G,202501319748796158,17,500385338,1870344,ORG,ORGANIZATION,,,THE HYATT REGENCY,GA,TRAVEL,X,,2024-10-15 0:00:00,23.38,G2024,GENERAL,2024,500385231,SB17,4013120251139337206,ATLANTA,303031204,OTHER,*,4021220251172451822,https://docquery.fec.gov/cgi-bin/fecimg/?202501319748796158
C00503052,JEFFRIES FOR CONGRESS,2024,12G,202410249710193762,17,500367023,1838173,ORG,ORGANIZATION,,,DELTA AIRLINES,GA,TRAVEL EXPENSE,,,2024-10-15 0:00:00,352.48,G2024,GENERAL,2024,,,4102420242081239062,ATLANTA,303541989,MATERIALS,,4112320241073227018,https://docquery.fec.gov/cgi-bin/fecimg/?202410249710193762
C00796433,CHUCK EDWARDS FOR CONGRESS,2024,YE,202501159740175734,17,SB17-EX5261,1863414,ORG,ORGANIZATION,,,DELTA AIRLINES,GA,AIRFARE,X,,2024-12-31 0:00:00,1668.93,P2026,PRIMARY,2026,,,4011520251130189010,ATLANTA,30354,OTHER,,4012620251135173095,https://docquery.fec.gov/cgi-bin/fecimg/?202501159740175734
C00869016,HOGAN FOR MARYLAND INC.,2024,30G,202506109761876644,17,PG1265,1895064,ORG,ORGANIZATION,,,CROWNE PLAZA HOTEL & RESORTS,GA,LODGING,,,2024-10-22 0:00:00,418.75,,,,,,4061020251204962005,ATLANTA,30346,TRAVEL,,4061020251205435976,https://docquery.fec.gov/cgi-bin/fecimg/?202506109761876644
C00869016,HOGAN FOR MARYLAND INC.,2024,30G,202506109761876643,17,PG1261,1895064,ORG,ORGANIZATION,,,CHICK-FIL-A,GA,EVENT FOOD,,,2024-11-01 0:00:00,1087.03,,,,,,4061020251204962005,COLLEGE PARK,30349,OTHER,,4061020251205435972,https://docquery.fec.gov/cgi-bin/fecimg/?202506109761876643
C00326801,TAMMY BALDWIN FOR SENATE,2024,YE,202506059761867212,17,500983845,1894780,ORG,ORGANIZATION,,,MAILCHIMP,GA,EMAILS,,,2024-12-02 0:00:00,379.8,P2030,PRIMARY,2030,,,4060620251204893001,ATLANTA,303081884,OTHER,,4061020251205435593,https://docquery.fec.gov/cgi-bin/fecimg/?202506059761867212
C00541888,KATHERINE CLARK FOR CONGRESS,2024,12G,202410249710282265,17,500427450,1838609,ORG,ORGANIZATION,,,ADP,GA,PAYROLL FEE,,,2024-10-16 0:00:00,62.07,G2024,GENERAL,2024,,,4102420242081239134,AUGUSTA,309099373,OTHER,,4120920241075325962,https://docquery.fec.gov/cgi-bin/fecimg/?202410249710282265
C00410761,CASTOR FOR CONGRESS,2024,YE,202501319748876830,17,500975686,1871364,ORG,ORGANIZATION,,,AT&T MOBILITY,GA,TELEPHONE,,,2024-11-27 0:00:00,107.36,G2024,GENERAL,2024,,,4013120251139337467,ATLANTA,303424756,OTHER,,4021220251172437264,https://docquery.fec.gov/cgi-bin/fecimg/?202501319748876830
C00503052,JEFFRIES FOR CONGRESS,2024,12G,202410249710193763,17,500367026,1838173,ORG,ORGANIZATION,,,DELTA AIRLINES,GA,TRAVEL EXPENSE,,,2024-10-15 0:00:00,499.99,G2024,GENERAL,2024,,,4102420242081239062,ATLANTA,303541989,MATERIALS,,4112320241073227021,https://docquery.fec.gov/cgi-bin/fecimg/?202410249710193763
C00866293,RE-ELECT DENNIS KUCINICH,2024,YE,202501159740176060,17,SB17.9911,1863432,ORG,ORGANIZATION,,,MAILCHIMP,GA,EMAIL SERVICE,,,2024-12-23 0:00:00,64.8,,,,,,4011520251130189014,ATLANTA,30308,OTHER,,4012620251135172737,https://docquery.fec.gov/cgi-bin/fecimg/?202501159740176060
C00706747,FRIENDS OF MCCORMICK,2024,YE,202501319748808384,17,B083ECFD209AB435896D,1870464,ORG,ORGANIZATION,,,UPS,GA,POSTAGE,X,,2024-12-15 0:00:00,10.89,P2026,PRIMARY,2026,B4724DB6DB97E490C925,SB17,4013120251139337238,CUMMING,300402807,ADMINISTRATIVE,,4021220251172441626,https://docquery.fec.gov/cgi-bin/fecimg/?202501319748808384
C00851980,FRIENDS OF DAVE MCCORMICK,2024,YE,202502269753969047,17,SB17.C16,1878680,ORG,ORGANIZATION,,,CHICK-FIL-A - HQ,GA,FOOD / BEVERAGE,X,,2024-12-11 0:00:00,378.61,,,,SB17.C,,4022620251178660004,ATLANTA,30349,OTHER,,4022620251179131870,https://docquery.fec.gov/cgi-bin/fecimg/?202502269753969047
C00326801,TAMMY BALDWIN FOR SENATE,2024,YE,202506059761867212,17,500983846,1894780,ORG,ORGANIZATION,,,MAILCHIMP,GA,EMAILS,,,2024-12-30 0:00:00,379.8,P2030,PRIMARY,2030,,,4060620251204893001,ATLANTA,303081884,OTHER,,4061020251205435594,https://docquery.fec.gov/cgi-bin/fecimg/?202506059761867212
C00836502,AMISH FOR ARIZONA,2024,30G,202412059738021634,17,501220720,1858305,ORG,ORGANIZATION,,,CANAL PARTNERS MEDIA,GA,ADVERTISING - MEDIA,,,2024-10-18 0:00:00,564756,G2024,GENERAL,2024,,,4120620241074924069,ATLANTA,303393087,ADVERTISING,,4123020241125004046,https://docquery.fec.gov/cgi-bin/fecimg/?202412059738021634
C00869016,HOGAN FOR MARYLAND INC.,2024,12G,202506109761874790,17,HFMPG144,1895036,ORG,ORGANIZATION,,,HOME DEPOT,GA,OFFICE SUPPLIES,,,2024-10-15 0:00:00,253.9,,,,,,4061020251204962003,ATLANTA,30339,ADMINISTRATIVE,,4061020251205435430,https://docquery.fec.gov/cgi-bin/fecimg/?202506109761874790
C00477240,MORGAN GRIFFITH FOR CONGRESS,2024,30G,202412059720630702,17,SB17.44916,1855072,ORG,ORGANIZATION,,,UNITED STATES TREASURY,GA,FEDERAL WITHHOLDING TAXES,,,2024-11-15 0:00:00,873.64,G2024,GENERAL,2024,,,4120520241074539182,ATLANTA,30348,OTHER,,4123020241125005092,https://docquery.fec.gov/cgi-bin/fecimg/?202412059720630702
C00850404,MARK HARRIS FOR CONGRESS,2024,30G,202412039720138626,17,B9E6E43337C6E4EDAA41,1851709,ORG,ORGANIZATION,,,MAILCHIMP,GA,CMPN EMAIL SERVICE,X,,2024-11-01 0:00:00,276,G2024,GENERAL,2024,B3368C94E830A4CC7B3E,SB17,4120320241074214019,ATLANTA,303083139,OTHER,,4011820251132955020,https://docquery.fec.gov/cgi-bin/fecimg/?202412039720138626
C00828947,"MOORE FOR WEST VIRGINIA, INC.",2024,12G,202410249710836696,17,B6EFD9E7C652049B287E,1841273,ORG,ORGANIZATION,,,ART AND COPY PARTNERS LLC,GA,VOTER MAIL,,,2024-10-16 0:00:00,26303.97,G2024,GENERAL,2024,,,4102420242081239714,ALPHARETTA,30023,OTHER,,4120920241075326795,https://docquery.fec.gov/cgi-bin/fecimg/?202410249710836696
C00588657,TEXANS FOR JODEY ARRINGTON,2024,YE,202501319748836204,17,B66D835C563954636BF9,1870894,ORG,ORGANIZATION,,,DELTA AIRLINES,GA,AIRFARE,X,,2024-12-01 0:00:00,2635.53,,,,B80429922AD8C4A2F8B6,SB17,4013120251139337347,ATLANTA,30320,OTHER,,4021020251166959987,https://docquery.fec.gov/cgi-bin/fecimg/?202501319748836204
C00716720,HICKENLOOPER FOR COLORADO,2024,YE,202501319748809843,17,500750593,1870493,ORG,ORGANIZATION,,,FIRST DATA,GA,CREDIT CARD PROCESSING FEE,,,2024-11-04 0:00:00,9.95,P2026,PRIMARY,2026,,,4013120251139337248,ATLANTA,303421651,OTHER,,4021020251166954802,https://docquery.fec.gov/cgi-bin/fecimg/?202501319748809843
C00839597,COLIN ALLRED FOR SENATE,2024,30G,202504159755930476,17,500397160,1887741,ORG,ORGANIZATION,,,DELTA AIRLINES,GA,TRAVEL,X,,2024-11-04 0:00:00,500,G2024,GENERAL,2024,500392191,SB17,4041520251184156970,ATLANTA,303200980,OTHER,*,4042820251187259275,https://docquery.fec.gov/cgi-bin/fecimg/?202504159755930476
C00498345,MULLIN FOR AMERICA,2024,YE,202501319748819535,17,BFB5B203D02354FEAB04,1870603,ORG,ORGANIZATION,,,DELTA AIRLINES,GA,TRAVEL,X,,2024-12-12 0:00:00,874.48,P2026,PRIMARY,2026,B9D00DC38D7034655A62,SB17,4013120251139337284,ATLANTA,30320,OTHER,,4021020251166959906,https://docquery.fec.gov/cgi-bin/fecimg/?202501319748819535
C00836502,AMISH FOR ARIZONA,2024,30G,202412059738021633,17,501220794,1858305,ORG,ORGANIZATION,,,BEENVERIFIED,GA,SOFTWARE,,,2024-11-12 0:00:00,268.9,G2024,GENERAL,2024,,,4120620241074924069,ATLANTA,303485168,OTHER,,4123020241125004042,https://docquery.fec.gov/cgi-bin/fecimg/?202412059738021633
C00869016,HOGAN FOR MARYLAND INC.,2024,30G,202506109761876655,17,PG1304,1895064,ORG,ORGANIZATION,,,GULF PARTYLINE,GA,DATABASE,,,2024-10-30 0:00:00,1000,,,,,,4061020251204962005,ATLANTA,30303,OTHER,,4061020251205436010,https://docquery.fec.gov/cgi-bin/fecimg/?202506109761876655
C00545772,THOM TILLIS COMMITTEE,2024,YE,202501319749040536,17,B140C1BF837D64573AFE,1872210,ORG,ORGANIZATION,,,"THE STONERIDGE GROUP, LLC",GA,WEBSITE SERVICES,,,2024-11-13 0:00:00,2716.6,,,,,,4013120251139337663,ALPHARETTA,300059020,OTHER,,4021020251166960225,https://docquery.fec.gov/cgi-bin/fecimg/?202501319749040536
C00851980,FRIENDS OF DAVE MCCORMICK,2024,YE,202502269753968992,17,SB17.A31,1878680,ORG,ORGANIZATION,,,CHICK-FIL-A - HQ,GA,FOOD / BEVERAGE,X,,2024-11-26 0:00:00,153.53,,,,SB17.A21,,4022620251178660004,ATLANTA,30349,OTHER,,4022620251179131703,https://docquery.fec.gov/cgi-bin/fecimg/?202502269753968992
C00869016,HOGAN FOR MARYLAND INC.,2024,12G,202506109761874782,17,HFMPG148,1895036,ORG,ORGANIZATION,,,CROWN PLAZA,GA,MEALS,,,2024-10-16 0:00:00,32.86,,,,,,4061020251204962003,ATLANTA,30346,TRAVEL,,4061020251205435407,https://docquery.fec.gov/cgi-bin/fecimg/?202506109761874782
C00836502,AMISH FOR ARIZONA,2024,30G,202412059738021635,17,501220746,1858305,ORG,ORGANIZATION,,,CANAL PARTNERS MEDIA,GA,ADVERTISING - MEDIA,,,2024-10-28 0:00:00,20000,G2024,GENERAL,2024,,,4120620241074924069,ATLANTA,303393087,ADVERTISING,,4123020241125004048,https://docquery.fec.gov/cgi-bin/fecimg/?202412059738021635
C00477240,MORGAN GRIFFITH FOR CONGRESS,2024,30G,202412059720630694,17,SB17.44857,1855072,ORG,ORGANIZATION,,,DELTA AIRLINES,GA,AIRFARE,,,2024-10-24 0:00:00,588.98,G2024,GENERAL,2024,,,4120520241074539182,ATLANTA,30320,OTHER,,4123020241125005068,https://docquery.fec.gov/cgi-bin/fecimg/?202412059720630694
C00836502,AMISH FOR ARIZONA,2024,30G,202412059738021634,17,501220741,1858305,ORG,ORGANIZATION,,,CANAL PARTNERS MEDIA,GA,ADVERTISING - MEDIA,,,2024-10-25 0:00:00,377456,G2024,GENERAL,2024,,,4120620241074924069,ATLANTA,303393087,ADVERTISING,,4123020241125004047,https://docquery.fec.gov/cgi-bin/fecimg/?202412059738021634
C00870071,KAREN BAKER FOR THE 9TH DISTRICT VA,2024,30G,202412049720239281,17,500124287,1853284,ORG,ORGANIZATION,,,MAILCHIMP,GA,EMAIL MARKETING,,,2024-10-18 0:00:00,100,G2024,GENERAL,2024,,,4120420241074405093,ATLANTA,303121082,OTHER,,4123020241125004612,https://docquery.fec.gov/cgi-bin/fecimg/?202412049720239281
C00839597,COLIN ALLRED FOR SENATE,2024,30G,202504159755930690,17,500389878,1887741,ORG,ORGANIZATION,,,"LIQUID SOUL MEDIA, LLC",GA,MEDIA ADVERTISING,,,2024-10-23 0:00:00,33094.14,G2024,GENERAL,2024,,,4041520251184156970,ATLANTA,303185441,ADVERTISING,,4042820251187259916,https://docquery.fec.gov/cgi-bin/fecimg/?202504159755930690
C00588764,COMER FOR CONGRESS,2024,12G,202410249710641332,17,B730D00A92BE54838843,1840751,ORG,ORGANIZATION,,,DELTA AIRLINES,GA,TRAVEL,,,2024-10-15 0:00:00,35,G2024,GENERAL,2024,,,4102420242081239590,ATLANTA,303206001,OTHER,,4120920241075321326,https://docquery.fec.gov/cgi-bin/fecimg/?202410249710641332
C00869016,HOGAN FOR MARYLAND INC.,2024,30G,202506109761876643,17,PG1262,1895064,ORG,ORGANIZATION,,,CHICK-FIL-A,GA,MEALS,,,2024-11-07 0:00:00,214.12,,,,,,4061020251204962005,COLLEGE PARK,30349,TRAVEL,,4061020251205435973,https://docquery.fec.gov/cgi-bin/fecimg/?202506109761876643
C00869016,HOGAN FOR MARYLAND INC.,2024,30G,202506109761876656,17,PG1305,1895064,ORG,ORGANIZATION,,,GULF PARTYLINE,GA,DATABASE,,,2024-10-30 0:00:00,1000,,,,,,4061020251204962005,ATLANTA,30303,OTHER,,4061020251205436011,https://docquery.fec.gov/cgi-bin/fecimg/?202506109761876656
C00701672,"TUBERVILLE FOR SENATE, INC.",2024,YE,202504139755273398,17,SB17.I6553,1885607,ORG,ORGANIZATION,,,CARD SERVICES,GA,CREDIT CARD PAYMENT,,,2024-12-03 0:00:00,814.7,,,,,,4041320251183951056,COLUMBUS,31908,OTHER,,4041320251183962274,https://docquery.fec.gov/cgi-bin/fecimg/?202504139755273398
C00869016,HOGAN FOR MARYLAND INC.,2024,30G,202506109761876663,17,PG1328,1895064,ORG,ORGANIZATION,,,HOME DEPOT,GA,OFFICE SUPPLIES,,,2024-10-21 0:00:00,8.92,,,,,,4061020251204962005,ATLANTA,30339,ADMINISTRATIVE,,4061020251205436034,https://docquery.fec.gov/cgi-bin/fecimg/?202506109761876663
C00738872,BLAKE MOORE FOR CONGRESS,2024,12G,202410249710323296,17,B866897E5D20940E6B49,1838980,ORG,ORGANIZATION,,,DELTA AIR LINES,GA,AIRFARE,X,,2024-10-16 0:00:00,145.48,G2024,GENERAL,2024,B1C0AE90A34D94689B55,SB17,4102420242081239194,ATLANTA,303541989,OTHER,,4112220241072872749,https://docquery.fec.gov/cgi-bin/fecimg/?202410249710323296
C00736876,WARNOCK FOR GEORGIA,2024,YE,202504029755033644,17,500043426,1883699,ORG,ORGANIZATION,,,DELTA AIR LINES,GA,TRAVEL,X,,2024-12-20 0:00:00,379.48,P2028,PRIMARY,2028,500043333,SB17,4040220251182573080,ATLANTA,303541989,OTHER,*,4041120251183918253,https://docquery.fec.gov/cgi-bin/fecimg/?202504029755033644
